G1,G2,Subject,No,Data1,Data2,Data3,Labels
post3,control,dish10,n8,0.850649774,0.076215632,0.073134549,0
post3,control,dish10,n9,0.803265333,0.130654424,0.066080295,0
post3,control,dish10,n10,0.87314254,0.084023587,0.042833865,0
post3,control,dish10,n11,0.736135542,0.169978663,0.093885824,0
post3,escit,dish2,n0,0.328175008,0.089545541,0.582279503,2
post3,escit,dish2,n1,0.412496448,0.517384052,0.070119537,1
post3,escit,dish2,n2,0.514624178,0.033516172,0.451859653,0
post3,escit,dish2,n3,0.822019994,0.02287323,0.155106843,0
post3,escit,dish2,n4,0.78346777,0.181769609,0.034762699,0
post3,escit,dish2,n5,0.780613363,0.125213578,0.094173066,0
post3,escit,dish2,n6,0.449519157,0.01763933,0.532841504,2
post3,escit,dish2,n7,0.803874969,0.176189452,0.019935623,0
post3,escit,dish2,n8,0.070020109,0.667067349,0.262912571,1
post3,escit,dish2,n9,0.118006088,0.030295096,0.851698875,2
post3,escit,dish2,n10,0.032543696,0.95792228,0.009534045,1
post3,escit,dish2,n11,0.620493233,0.109729782,0.26977703,0
post3,mirt,dish4,n0,0.225498721,0.020837635,0.753663659,2
post3,mirt,dish4,n1,0.044761799,0.914438009,0.040800191,1
post3,mirt,dish4,n2,0.455493897,0.236237451,0.308268666,0
post3,mirt,dish4,n3,0.072515763,0.013039588,0.914444685,2
post3,mirt,dish4,n4,0.592905641,0.347239882,0.059854556,0
post3,mirt,dish4,n5,0.842805326,0.055323325,0.101871334,0
post3,mirt,dish4,n6,0.543343663,0.392188013,0.064468265,0
post3,mirt,dish4,n7,0.207070053,0.016406694,0.776523232,2
post3,mirt,dish4,n8,0.342654318,0.585918248,0.07142739,1
post3,mirt,dish4,n9,0.744614661,0.163002551,0.092382893,0
post3,mirt,dish4,n10,0.541253805,0.02502577,0.433720499,0
post3,mirt,dish4,n11,0.883688092,0.07581149,0.040500339,0
post3,mirt,dish5,n0,0.470573336,0.519480824,0.009945942,1
post3,mirt,dish5,n1,0.620796323,0.281991899,0.097211801,0
post3,mirt,dish5,n2,0.188143954,0.023370398,0.788485646,2
post3,mirt,dish5,n3,0.066959634,0.911771238,0.021269146,1
post3,mirt,dish5,n4,0.20626682,0.03998933,0.753743887,2
post3,mirt,dish5,n5,0.416780055,0.411275834,0.171944097,0
post3,mirt,dish5,n6,0.321021855,0.06103725,0.617940903,2
post3,mirt,dish5,n7,0.484894216,0.472142994,0.042962763,0
post3,mirt,dish5,n8,0.268384159,0.179318726,0.552297115,2
post3,mirt,dish5,n9,0.116690107,0.646648645,0.236661315,1
post3,mirt,dish5,n10,0.200116575,0.087118864,0.712764561,2
post3,mirt,dish5,n11,0.448993951,0.424771369,0.12623468,0
post3,mirt,dish7,n0,0.837204397,0.075820886,0.086974703,0
post3,mirt,dish7,n1,0.287776858,0.049230419,0.662992775,2
post3,mirt,dish7,n2,0.369733691,0.570992649,0.059273705,1
post3,mirt,dish7,n3,0.897872269,0.034145243,0.067982405,0
post3,mirt,dish7,n4,0.227108955,0.045357868,0.727533162,2
post3,mirt,dish7,n5,0.107592948,0.880136013,0.012271045,1
post3,mirt,dish7,n6,0.183669731,0.294865847,0.521464467,2
post3,mirt,dish7,n7,0.77982378,0.014198943,0.205977276,0
post3,mirt,dish7,n8,0.705481529,0.202622578,0.091895804,0
post3,mirt,dish7,n9,0.80219388,0.114300311,0.083505809,0
post3,mirt,dish7,n10,0.880537808,0.049522202,0.069939934,0
post3,mirt,dish7,n11,0.798006117,0.130630955,0.071363039,0
post3,mirt,dish9,n0,0.357728928,0.599301398,0.042969692,1
post3,mirt,dish9,n1,0.227889583,0.116127372,0.655983031,2
post3,mirt,dish9,n2,0.107270241,0.014530336,0.878199399,2
post3,mirt,dish9,n3,0.153600544,0.825249016,0.02115046,1
post3,mirt,dish9,n4,0.123284347,0.027212851,0.849502861,2
post3,mirt,dish9,n5,0.253297716,0.484927863,0.261774391,1
post3,mirt,dish9,n6,0.229449496,0.029490877,0.741059661,2
post3,mirt,dish9,n7,0.091153286,0.875197947,0.033648781,1
post3,mirt,dish9,n8,0.059696011,0.031879086,0.908424914,2
post3,mirt,dish9,n9,0.155286044,0.01053325,0.834180772,2
post3,mirt,dish9,n10,0.237884328,0.731688201,0.030427495,1
post3,mirt,dish9,n11,0.42549938,0.045953788,0.52854687,2
post3,tryp,dish3,n0,0.608314991,0.067082562,0.324602515,0
post3,tryp,dish3,n1,0.713326752,0.066449575,0.220223784,0
post3,tryp,dish3,n2,0.776012897,0.18472521,0.039261859,0
post3,tryp,dish3,n3,0.807510376,0.068791851,0.123697788,0
post3,tryp,dish3,n4,0.725891948,0.087918699,0.186189383,0
post3,tryp,dish3,n5,0.784646571,0.121033743,0.094319656,0
post3,tryp,dish3,n6,0.896331728,0.078070804,0.025597408,0
post3,tryp,dish3,n7,0.281483501,0.502683759,0.215832844,1
